GeneName	GoTerm
YAL038W	GO:0016310
YAL038W	GO:0006096
YAL038W	GO:0008152
YAL038W	GO:0006090
YAL038W	GO:0032869
YAL039C	GO:0018063
YAL040C	GO:0006468
YAL040C	GO:0044772
YAL040C	GO:0042144
YAL040C	GO:0000079
YAL040C	GO:0007089
YAL040C	GO:0007033
YAL040C	GO:0051301
YAL040C	GO:0000083
YAL040C	GO:0007049
YAL041W	GO:0035556
YAL041W	GO:0043577
YAL041W	GO:0030010
YAL041W	GO:0072697
YAL041W	GO:0007264
YAL041W	GO:0035023
YAL041W	GO:0007096
YAL041W	GO:0000282
YAL041W	GO:0031106
YAL042W	GO:0015031
YAL042W	GO:0016192
YAL042W	GO:0006890
YAL042W	GO:0006888
YAL043C	GO:0006378
YAL043C	GO:0008033
YAL043C	GO:0098789
YAL043C	GO:0006397
YAL043C	GO:0030846
YAL044C	GO:0006730
YAL044C	GO:0006546
YAL044C	GO:0019464
YAL044C	GO:0055114
YAL044C	GO:0009249
YAL044W-A	GO:0044572
YAL044W-A	GO:0106035
YAL046C	GO:0106035
YAL047C	GO:0030473
YAL047C	GO:0000741
YAL047C	GO:0000070
YAL047C	GO:0007049
YAL047C	GO:0051301
YAL047C	GO:0031578
YAL047C	GO:0007020
YAL047C	GO:0000022
YAL048C	GO:0055091
YAL048C	GO:0010821
YAL048C	GO:0000001
YAL048C	GO:0007005
YAL048C	GO:0007266
YAL048C	GO:1990456
YAL049C	GO:0008150
YAL051W	GO:0006355
YAL051W	GO:0061429
YAL051W	GO:0030435
YAL051W	GO:0032000
YAL051W	GO:0045944
YAL051W	GO:0031940
YAL053W	GO:0009272
YAL053W	GO:0006457
YAL053W	GO:0035350
YAL053W	GO:0030148
YAL053W	GO:0055074
YAL053W	GO:0055085
YAL053W	GO:0071476
YAL053W	GO:0015883
YAL054C	GO:0019427
YAL054C	GO:0019654
YAL054C	GO:0016573
YAL054C	GO:0006085
YAL055W	GO:0006625
YAL055W	GO:0050790
YAL055W	GO:0007031
YAL055W	GO:0016562
YAL055W	GO:0031398
YAL055W	GO:1902499
YAL056W	GO:0007165
YAL056W	GO:0071901
YAL056W	GO:0001403
YAL056W	GO:0045944
YAL056W	GO:0007124
